Date,Price,Open,High,Low ,Vol.,Change %
"Jun 26, 2015","11,040.31","11,048.59","11,063.46","11,008.99","-"   ,"0.04%"
"Jun 25, 2015","11,035.73","11,078.57","11,094.79","11,030.77","-"   ,"-0.27%"
"Jun 24, 2015","11,066.14","11,132.44","11,142.11","11,066.14","-"   ,"-0.75%"
"Jun 23, 2015","11,149.36","11,146.58","11,167.04","11,131.03","-"   ,"0.18%"
"Jun 22, 2015","11,129.61","11,104.66","11,170.82","11,104.66","-"   ,"0.82%"
"Jun 19, 2015","11,038.96","11,080.29","11,092.30","11,037.92","-"   ,"-0.55%"
"Jun 18, 2015","11,100.47","11,032.48","11,137.40","11,032.48","-"   ,"0.79%"
"Jun 17, 2015","11,013.66","11,009.48","11,040.99","10,950.11","-"   ,"0.15%"
"Jun 16, 2015","10,997.66","10,940.45","11,000.58","10,927.12","-"   ,"0.44%"
"Jun 15, 2015","10,949.54","10,942.51","10,967.61","10,898.47","-"   ,"-0.55%"
"Jun 12, 2015","11,009.91","11,037.34","11,037.34","10,989.82","-"   ,"-0.64%"
"Jun 11, 2015","11,080.51","11,072.53","11,101.13","11,055.87","-"   ,"0.20%"
"Jun 10, 2015","11,057.99","10,960.09","11,080.71","10,960.09","-"   ,"1.30%"
"Jun 09, 2015","10,915.64","10,918.24","10,943.31","10,882.81","-"   ,"-0.02%"
"Jun 08, 2015","10,917.82","10,975.22","10,975.22","10,916.89","-"   ,"-0.56%"
"Jun 05, 2015","10,979.33","10,982.05","11,009.10","10,924.56","-"   ,"-0.19%"
"Jun 04, 2015","11,000.39","11,062.13","11,095.02","10,989.43","-"   ,"-0.97%"
"Jun 03, 2015","11,107.93","11,101.87","11,147.81","11,082.00","-"   ,"0.24%"
"Jun 02, 2015","11,080.89","11,057.14","11,117.60","11,027.80","-"   ,"0.17%"
"Jun 01, 2015","11,061.68","11,081.67","11,093.34","11,023.28","-"   ,"0.05%"
"May 29, 2015","11,056.30","11,116.21","11,117.16","11,033.06","-"   ,"-0.69%"
"May 28, 2015","11,132.74","11,128.76","11,135.96","11,075.67","-"   ,"-0.10%"
"May 27, 2015","11,143.35","11,076.26","11,155.19","11,069.15","-"   ,"0.71%"
"May 26, 2015","11,065.32","11,197.60","11,197.60","11,042.88","-"   ,"-1.18%"
"May 22, 2015","11,197.69","11,213.94","11,225.06","11,197.67","-"   ,"-0.37%"
"May 21, 2015","11,239.66","11,212.52","11,254.87","11,206.46","-"   ,"0.26%"
"May 20, 2015","11,210.24","11,221.41","11,246.70","11,196.54","-"   ,"-0.03%"
"May 19, 2015","11,213.15","11,214.43","11,232.46","11,195.56","-"   ,"-0.13%"
"May 18, 2015","11,227.89","11,207.03","11,236.79","11,192.62","-"   ,"-0.00%"
"May 15, 2015","11,228.35","11,202.98","11,228.69","11,172.67","-"   ,"0.19%"
"May 14, 2015","11,207.33","11,163.95","11,208.75","11,161.64","-"   ,"0.81%"
"May 13, 2015","11,117.00","11,131.53","11,165.80","11,103.10","-"   ,"0.03%"
"May 12, 2015","11,113.17","11,106.10","11,136.72","11,058.98","-"   ,"-0.25%"
"May 11, 2015","11,140.74","11,182.12","11,198.44","11,134.18","-"   ,"-0.50%"
"May 08, 2015","11,196.50","11,138.65","11,205.96","11,138.65","-"   ,"1.45%"
"May 07, 2015","11,036.40","10,997.92","11,051.98","10,961.18","-"   ,"0.19%"
"May 06, 2015","11,015.99","11,082.06","11,098.21","10,963.14","-"   ,"-0.30%"
"May 05, 2015","11,049.34","11,171.51","11,180.21","11,039.97","-"   ,"-1.11%"
"May 04, 2015","11,173.28","11,154.99","11,192.88","11,154.99","-"   ,"0.30%"
"May 01, 2015","11,140.36","11,074.95","11,141.02","11,072.99","-"   ,"0.82%"
"Apr 30, 2015","11,049.74","11,116.72","11,127.91","11,013.66","-"   ,"-0.94%"
"Apr 29, 2015","11,154.11","11,161.96","11,185.59","11,117.32","-"   ,"-0.44%"
"Apr 28, 2015","11,203.08","11,165.07","11,204.16","11,105.41","-"   ,"0.32%"
"Apr 27, 2015","11,167.31","11,226.42","11,248.99","11,160.52","-"   ,"-0.23%"
"Apr 24, 2015","11,192.93","11,199.94","11,207.80","11,172.42","-"   ,"0.01%"
"Apr 23, 2015","11,191.48","11,128.15","11,221.14","11,118.93","-"   ,"0.42%"
